ESTRATO;TERMO;POSICAO;VIDEO_ID;TITULO;DESCRICAO;FRASE_INICIO;FRASE_MEIO;FRASE_FIM
A_responsavel;desenho animado infantil;1;fZw2wKvH1ieGU_BJ;As 5 melhores músicas infantis! Cante com Léo, o caminhão curioso! Desenho animado para crianças;Fizemos uma compilação especial com as 5 melhores músicas infantis do Léo, o caminhão curioso no novo desenho animado para crianças. Cante com Léo! ;Um gatinho está contente e sorrindo a viajar;No tronco estão sentadinhos comendo mosquito sem parar;E a aranha azul continua a subir
A_responsavel;desenho animado infantil;2;i27tUeqr792metrF;Bento e Totó - O Patinho Colorido (Desenho Infantil);Bento e Totó - O Patinho Colorido;Viva o patinho azul;Usou tinta colorida e vermelho ele ficou;Viva o patinho amarelo
A_responsavel;desenho animado infantil;3;YBrdoEo1UZdU8bG0;🌧️ Chuva, Chuva, Vá Embora | Desenho Infantil | Lalafun em Português;Chuva, chuva vá embora Volte uma outra hora Pocotó fazem os cavalos Chuva, chuva vá embora;A vaca lola é espanhola;Alegre alegre alegre vamos todos cantar;A vaca gosta de comer comer maçãs e bananas
A_responsavel;desenho animado infantil;4;dKC4oRVr6VibfXM-;Bento e Totó - Funk do Patinho (Desenho Infantil);Bento e Totó - Funk do Patinho Inscreva-se no nosso canal para assistir aos vídeos da série sempre em primeira mão.;Dança o funk do patinho, verde azul amarelinho;Roda roda igual pião pula pula sai do chão;Tudo junto tudo junto
A_responsavel;desenho animado infantil;5;KYGZY6pmc70;Desenho Infantil | 22 Minutos de Histórias do José Totoy | Em Português Completo;Indicado para crianças de 3 a 7 anos. Conteúdo seguro, sem violência e divertido.;Macarronada eu quero fazer agora;A minha cenoura vai ficar bem maior você vai ver;Já sei vou fazer um ventilador gigante
A_responsavel;desenho animado infantil;6;uhaV6NmzlhE;Brincar com Slime é Legal | Músicas Infantis | Sim! Neo | BabyBus Português;Boing, boing! Aperte o play e venha se esticar com a gente!;É hora da nossa turma dizer tchau;A campainha está tocando;Examinando a sua boca
A_responsavel;desenho animado infantil;7;5r8GeeH2ygw;🔴 AO VIVO 🔴 Detetive Labrador 👮‍♂ Regras de Segurança no Elevador⚠️ Desenhos Infantis;Bem-vindo ao mundo do Detetive Labrador! O Detetive Labrador e seu assistente, o Policial Doberman têm como compromisso proteger, dar segurança e educar os moradores da Cidade Florestal.;Continue tomando os remédios e o resfriado já vai passar;Uau esse avião é tão legal;Pare não dance dentro do elevador
A_responsavel;desenho animado infantil;8;RxJqjNbhYjI;Brincando com Hophop, a coruja, e o pinguinzinho! Desenho animado infantil em português;Crianças, vamos assistir aos novos desenhos animados em português! Nesse desenho animado infantil, vamos brincar no parquinho com HopHop, a coruja, o Peck Peck e o pinguinzinho.;O pinguim de brinquedo está na caçamba do caminhão;Assim você não vai conseguir abrir;Pode usar o trator e o caminhão para recolher os galhos secos do chão
A_responsavel;desenho animado infantil;9;j0wVC7-hm5I;Mundo de Papelão | Detetive Labrador | Desenhos Animados | Desenhos Infantis | BabyBus Português;Música infantil, canções de ninar, português para crianças, canções de ninar em português, canções infantis em português, portuguese songs for kids, musica infantil, desenhos animados crianças, Músicas em português para crianças, desenho animado, desenhos.;Não tem um caso que eu não consiga resolver;Agora ele não pode entrar. Que som é esse.;Entrem no carro. Entendido. Que legal, esse robô sabe dançar.
A_responsavel;desenho animado infantil;10;Oc8r9cRJoZs;O Teste da Amizade 🔍✅ Coleção de desenhos animados;Masha e o Urso. Todos os episódios    • Masha e o Urso - Todos os episódios;Te achei minha bonequinha mais linda;Pinguins migratórios são aves bastante raras;Pegadas de animais desconhecidos
